name,description,photo_url,diseases,images
Acore vrai,"Plante médicinale à l’effet stomachique avec une action efficace contre les brûlures d’estomac, se présente souvent sous forme de tisanes (infusions).",https://creapharma.ch/wp-content/uploads/2015/04/calami-rhizome.jpg,"Acidité gastrique , Brûlure d’estomac , Gastro-entérite , Mal de ventre ",https://upload.wikimedia.org/wikipedia/commons/7/75/Acorus_calamus_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-006.jpg
Boldo,"Plante médicinale utilisée principalement pour son effet spasmolytique lors de troubles digestifs, se présente souvent sous forme de tisane, en goutte ou en gélule.",https://creapharma.ch/wp-content/uploads/2015/04/boldo-215x200.gif,"Acidité gastrique , Brûlure d’estomac , Gastro-entérite , Mal de ventre ",https://es.wikipedia.org/wiki/Peumus_boldus#/media/File:Peumus_boldus_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-104.jpg
Camomille vraie,Plante médicinale utilisée en usage interne contre les spasmes et les problèmes digestifs surtout sous forme de tisane et en usage externe comme désinfectant et cicatrisant.,https://creapharma.ch/wp-content/uploads/2015/04/camomille-vraie-163x200.jpg,"Acidité gastrique , Allergie , Angine (pharyngite) , Brûlure d’estomac , Eczéma , Gastro-entérite , Gorge (mal de) , Hémorroïdes , Insomnie (troubles du sommeil) , Laryngite , Mal de gorge , Nervosité (stress) , Peau-sèche , Pharyngite (angine) , Rhume des foins , Sommeil (troubles du sommeil, insomnie) , Stress ",https://upload.wikimedia.org/wikipedia/commons/e/ef/Matricaria_recutita_g3.jpg
Chélidoine,"Plante médicinale utilisée en usage interne contre les problèmes digestifs comme les spasmes et en usage externe contre les verrues.
Attention, n’utiliser pour son usage interne (prise orale) que des remèdes certifiés par les autorités sanitaires.",https://creapharma.ch/wp-content/uploads/2015/04/chelidoine-une.jpg,"Acidité gastrique , Brûlure d’estomac , Verrues ",https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Chelidonium_majus20100511_10.jpg/1200px-Chelidonium_majus20100511_10.jpg
Chou,Plante médicinale calmante utilisée principalement en usage externe lors de rhumatisme sous forme de cataplasme.,https://creapharma.ch/wp-content/uploads/2015/04/chou-plante.jpg,"Acidité gastrique , Brûlure d’estomac , Hyperthyroïdie ",https://upload.wikimedia.org/wikipedia/commons/8/83/Choux_02.jpg
Cumin,"Plante médicinale utilisée lors de problèmes digestifs comme les flatulences, se présente en général sous forme de tisane (infusion).",https://creapharma.ch/wp-content/uploads/2015/04/cumin-graines.jpg,"Acidité gastrique , Brûlure d’estomac , Flatulence , Gastro-entérite , Indigestion ",https://de.wikipedia.org/wiki/Kreuzk%C3%BCmmel#/media/File:Cuminum_cyminum_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-198.jpg
Mélisse,Plante médicinale et aromatique utilisée en usage interne comme sédatif et digestif et en usage externe pour soigner l’herpès labial ou en friction contre des douleurs rhumatismales.,https://creapharma.ch/wp-content/uploads/2015/05/melisse-plantes-medicinale.jpg,"Acidité gastrique , Anxiété , Brûlure d’estomac , Cystite interstitielle , Gastro-entérite , Insectes (piqûres d’) , Insomnie (troubles du sommeil) , Mal de ventre , Ménopause , Moustiques (piqûres de) , Nervosité (stress) , Piqûre d’insectes (insectes) , Piqûres de moustiques , Sommeil (troubles du sommeil, insomnie) , Stress , Syncope , Syndrome du côlon irritable ",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Melissa_officinalis_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-094.jpg/297px-Melissa_officinalis_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-094.jpg
Menthe,"Plante médicinale à vertu digestive et aromatique, se présente principalement sous forme de tisane (infusion).",,"Acidité gastrique , Brûlure d’estomac , Gastro-entérite , Insectes (piqûres d’) , Mauvaise haleine , Migraine , Piqûre d’insectes (insectes) , Règles douloureuses (dysménorrhée) , Syndrome du côlon irritable ",https://upload.wikimedia.org/wikipedia/commons/9/99/Field_of_Mentha_x_piperita_02.jpg
Millefeuille,"Plante médicinale utilisée en usage interne contre l’anorexie (effet amer) et lors de problèmes digestifs avec des spasmes, en usage externe contre les inflammations. Le millefeuille se présente souvent sous forme de tisane.",,"Acidité gastrique , Brûlure d’estomac , Gastro-entérite , Hépatites , Indigestion , Mal de ventre , Règles douloureuses (dysménorrhée) ",https://upload.wikimedia.org/wikipedia/commons/7/7f/Achillea_macrophylla_flowers.jpg
Réglisse,"Plante médicinale expectorante utilisée principalement lors de toux ou de catarrhes, se présente en général sous forme de tisane (infusion), en racine à sucer ou en bonbons.",https://creapharma.ch/wp-content/uploads/2015/05/reglisse-pm.jpg,"Acidité gastrique , Angine (pharyngite) , Aphtes , Brûlure d’estomac , Enrouement , Gorge (mal de) , Laryngite , Mal de gorge , Pharyngite (angine) , Reflux gastro-œsophagien , Toux ",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Glycyrrhiza_glabra_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-207.jpg/220px-Glycyrrhiza_glabra_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-207.jpg
Arbre à thé,"Plante médicinale utilisée principalement sous forme d’huile essentielle, indiquée surtout lors de mycoses des pieds grâce à un fort effet antifongique. On l’utilise souvent sous forme d’huile essentielle.",https://creapharma.ch/wp-content/uploads/2015/04/arbre-a-the-134x200.jpg,"Acné , Aphtes , Candidose vaginale , Hémorroïdes , Impétigo , Mycoses des ongles (onychomycose) , Mycoses des pieds (pieds d’athlète) , Mycoses vaginales , Onychomycose (mycose des ongles) , Pellicules , Pied d’athlète (mycose des pieds) , Poux de tête ",https://upload.wikimedia.org/wikipedia/commons/9/9f/Ti-tree_sprig2.jpg
Argan,Plante (médicinale) qui s’utilise principalement sous forme d’huile pour diverses usages cosmétiques et dermatologiques.,https://creapharma.ch/wp-content/uploads/2015/04/argane.jpg,Acné ,https://upload.wikimedia.org/wikipedia/commons/6/60/Argania_spinosa_Fruit.jpg
Bardane,Plante médicinale utilisée en usage interne contre l’acné et les furoncles et en usage externe pour soigner l’eczéma.,https://creapharma.ch/wp-content/uploads/2015/04/bardane-plante-medicinale.jpg,Acné ,https://upload.wikimedia.org/wikipedia/commons/a/a7/Arctium_lappa.jpg
Coco,"Plante médicinale utilisée principalement en cas de surpoids ou d’obésité, en tant que mesure complémentaire. Néanmoins, aucune étude sérieuse n’a véritablement montré l’efficacité de l’huile de coco dans la perte de poids. L’huile se présente en général sous forme de gélule ou en directement sous forme d’huile de coco.",https://creapharma.ch/wp-content/uploads/2015/05/cocoyer.jpg,Acné ,https://upload.wikimedia.org/wikipedia/commons/3/32/Cocos_nucifera_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-187.jpg
Onagre,"Plante médicinale utile pour soigner et apaiser le syndrome prémenstruel ainsi que divers problèmes de peau, se présente souvent sous forme de gélule ou de crème.",https://creapharma.ch/wp-content/uploads/2015/05/onagre-plante-jardin-pm.jpg,"Acné , Eczéma , Peau-sèche , Règles douloureuses (dysménorrhée) , Syndrome prémenstruel ",https://upload.wikimedia.org/wikipedia/commons/7/7d/Onagre.JPG
Pissenlit,"Plante médicinale diurétique et dépurative favorisant la digestion, se présente par exemple sous forme de tisane ou de décoction.",https://creapharma.ch/wp-content/uploads/2015/04/pissenlit-fleurs.jpg,Acné ,https://upload.wikimedia.org/wikipedia/commons/b/b2/Taraxacum_officinale_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-135.jpg
Cyprès,"Plante médicinale (arbre) avec des propriétés vasoconstrictrices, utilisée surtout contre les hémorroïdes, se présente souvent sous forme d’huile essentielle ou en décoction",https://creapharma.ch/wp-content/uploads/2015/04/cypres-commun_202_177.jpg,Allergie ,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Med_Cypress.jpg/220px-Med_Cypress.jpg
Hysope,"Plante médicinale avec des effets expectorant et fluidifiant, utilisée surtout en cas de bronchite, se présente souvent sous forme de tisane ou de sirop.",https://creapharma.ch/wp-content/uploads/2015/05/hysope.jpg,"Allergie , Bronchite , Calculs urinaires , Lithiase urinaire (calculs urinaires) ",https://upload.wikimedia.org/wikipedia/commons/9/91/Hyssopus_officinalis_005.JPG
Ortie,"Plante médicinale utilisée en usage interne comme diurétique, en usage externe comme astringent ou produit cosmétique, se présente souvent sous forme de tisane ou en solution.",https://creapharma.ch/wp-content/uploads/2015/05/ortie-def.jpg,"Allergie , Calculs urinaires , Chute des cheveux (f) , Cystite , Hyperplasie bénigne prostate , Infections urinaires , Lithiase urinaire (calculs urinaires) ",https://upload.wikimedia.org/wikipedia/commons/6/63/Urtica_dioica_feuille2.jpg
Pétasite,"Plante médicinale ayant des effets antiallergique et spasmolytique, utilisée respectivement lors de rhume des foins ou de maux de ventre. En vente principalement sous forme de médicaments prêts à l’emploi.",https://www.creapharma.ch/wp-content/uploads/2015/05/petasites-hybridus-Fotolia_105435213_XS.jpg,"Allergie , Mal de tête , Mal de ventre , Nervosité (stress) , Rhume des foins , Stress ",https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Petasites_hybridus_plants.jpg/1200px-Petasites_hybridus_plants.jpg
Aloé,"Plante médicinale anti-inflammatoire et désinfectante utilisée lors de plaies ou de brûlures, se présente souvent sous forme de gel ou de pommade.",https://creapharma.ch/wp-content/uploads/2015/04/aloe-plante-medicinale2-161x200.jpg,"Allergie au soleil , Ampoules (cloques) , Peau-sèche ",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Aloe_Vera.jpg/1200px-Aloe_Vera.jpg
Carotte,Plante (médicinale) et/ou légume riche en béta-carotène permettant une certaine protection face aux coups de soleil Utilisée également pour augmenter le bronzage de la peau et lors de diarrhée.,,"Allergie au soleil , Coup de soleil , Reflux gastro-œsophagien ",https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Daucus_carota_May_2008-1_edit.jpg/1200px-Daucus_carota_May_2008-1_edit.jpg
Café,"Plante médicinale utilisée en médecine comme stimulant, accélérateur de l’absorption d’autres molécules (augmentation de la rapidité de l’effet, par ex. avec le paracétamol) et contre les maux de tête et migraines entre autres.",https://creapharma.ch/wp-content/uploads/2015/04/cafe-graines.jpg,"Alzheimer , Arrêter de fumer & tabagisme , Asthme (mesure complémentaire) , Diabète type 2 , Dysfonction érectile , Érection , Fatigue , Goutte , Impuissance (dysfonction érectile) , Maladie d’alzheimer , Migraine , Troubles-érectiles ",https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Coffea_canephora_at_Aanakkulam.jpg/1200px-Coffea_canephora_at_Aanakkulam.jpg
Ginkgo,"Plante médicinale sensée améliorer les performances du cerveau comme la mémorisation et la vascularisation, mais plusieurs études se sont montrées critiques par rapport à son efficacité. Le ginkgo se présente souvent sous forme de gélules ou comprimés standardisés.",https://creapharma.ch/wp-content/uploads/2015/05/gingko_pm.jpg,"Alzheimer , Dysfonction érectile , Érection , Maladie d’alzheimer , Syncope ",https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Gingko_flowers.jpg/800px-Gingko_flowers.jpg
Angélique,"Plante médicinale avec un effet antispasmodique et tonique, utilisée par exemple en cas de spasmes digestifs et de fatigue, se présente souvent sous forme de tisane ou en liqueur.",https://creapharma.ch/wp-content/uploads/2015/04/angelique-une.jpg,"Aménorrhée , Ballonnements (flatulences) , Dysménorrhée , Fatigue , Flatulence , Règles douloureuses (dysménorrhée) ",https://upload.wikimedia.org/wikipedia/commons/8/85/Coulon-Ang%C3%A9lique.jpg
Gattilier,Plante médicinale utilisée contre les dysménorrhées (menstruations douloureuses) se présente souvent sous forme de gélule ou en extrait.,https://creapharma.ch/wp-content/uploads/2015/05/gatillier-plante-pm.jpg,"Aménorrhée , Dysménorrhée , Endométriose , Règles douloureuses (dysménorrhée) , Syndrome prémenstruel ",https://upload.wikimedia.org/wikipedia/commons/9/9c/Vitex_agnus-castus_003.JPG
Calendula (souci),"Plante médicinale utilisée comme cicatrisant et anti-inflammatoire principalement contre les coups et les blessures, se présente en général sous forme de pommade.
Attention, ne pas appliquer une pommade à base de calendula sur une plaie ouverte (plaie qui saigne).",https://creapharma.ch/wp-content/uploads/2015/04/soucis_des_jardins-213x200.gif,Ampoules (cloques) ,https://upload.wikimedia.org/wikipedia/commons/a/a9/Calendula_officinalis_yellow_brown.jpg
Lavande,"Plante médicinale utilisée en usage interne pour traiter l’anxiété ou la nervosité et en usage externe pour désinfecter des plaies légères, se présente souvent sous forme de capsule ou en liquide.",https://creapharma.ch/wp-content/uploads/2015/05/lavande-une21.gif,"Ampoules (cloques) , Anxiété , Crevasses , Insectes (piqûres d’) , Insomnie (troubles du sommeil) , Mal des transports (cinétose) , Moustiques (piqûres de) , Mycoses des pieds (pieds d’athlète) , Nervosité (stress) , Pied d’athlète (mycose des pieds) , Piqûre d’insectes (insectes) , Piqûres de moustiques , Poux de tête , Sommeil (troubles du sommeil, insomnie) , Stress ",https://upload.wikimedia.org/wikipedia/commons/3/36/Lavande_off_FR_2012.jpg
Acérola,"Plante médicinale originaire d’Amérique du Sud, très riche en vitamine C, qui exerce un effet préventif et curatif lors de maladies infectieuses. Se présente souvent sous forme de comprimé, comprimé à sucer ou en solution buvable.",,Anémie ,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Malpighia_glabra_blossom_and_fruit.jpg/1200px-Malpighia_glabra_blossom_and_fruit.jpg
Ginseng,"Plante médicinale avec un effet stimulant utilisée notamment comme tonique en cas de fatigue, se présente souvent sous forme de comprimés ou en gélules.",https://creapharma.ch/wp-content/uploads/2015/05/ginseng-pm.jpg,"Anémie , Diabète type 2 , Dysfonction érectile , Érection , Fatigue , Hoquet , Impuissance (dysfonction érectile) , Nervosité (stress) , Parkinson , Stress , Troubles-érectiles ",https://upload.wikimedia.org/wikipedia/commons/b/b8/Panax_quinquefolius.jpg
Guarana,"Plante médicinale riche en caféine, favorisant ainsi la vigilance et l’éveil, se présente en général sous forme de boisson ou de gélule.",https://creapharma.ch/wp-content/uploads/2015/05/guarana-pm.jpg,"Anémie , Fatigue ",https://upload.wikimedia.org/wikipedia/commons/b/b9/Guaran%C3%A1_06.jpg
Éleuthérocoque,"Plante médicinale qui améliore les capacités physiques et psychiques utilisée en particulier en cas de stress, se présente souvent sous forme de gélule ou d’extrait standardisé.",https://creapharma.ch/wp-content/uploads/2015/04/eleutherocoque-Vladimir-Galanov_pm.jpg,"Anémie , Fatigue , Nervosité (stress) , Stress ",https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Eleutherococcus_gracilistylus_BotGardBln1105_LeavesFallFruits.JPG/1200px-Eleutherococcus_gracilistylus_BotGardBln1105_LeavesFallFruits.JPG
Maté,"Plante médicinale et boisson utilisée comme stimulant, diurétique et amaigrissant, se présente souvent sous forme de tisane ou en gélules (capsules). Il s’agit d’une véritable boisson nationale dans certains pays d’Amérique du sud.",https://creapharma.ch/wp-content/uploads/2015/05/mate-grand.jpg,"Anémie , Cholestérol , Diabète type 2 , Fatigue , Surpoids & obésité ",https://upload.wikimedia.org/wikipedia/commons/2/28/Ilex_paraguariensis_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-074.jpg
Orpin rose,"Plante médicinale qui améliore les capacités physiques et psychiques utilisée en particulier en cas de stress, se présente souvent sous forme de gélules ou d’extrait standardisé.",https://creapharma.ch/wp-content/uploads/2015/05/rhodiola-pm.jpg,Anémie ,https://upload.wikimedia.org/wikipedia/commons/e/ef/Rhodiola_rosea_a2.jpg
Rodiole,"Plante médicinale qui améliore les capacités physiques et psychiques utilisée en particulier en cas de stress, se présente souvent sous forme de gélules ou d’extrait standardisé.",https://creapharma.ch/wp-content/uploads/2015/05/rhodiola-pm.jpg,Anémie ,https://upload.wikimedia.org/wikipedia/commons/e/ef/Rhodiola_rosea_a2.jpg
Théier,"Plante médicinale et boisson utilisée principalement comme stimulant lors de fatigue, se présente souvent sous forme de thé (infusion).",https://creapharma.ch/wp-content/uploads/2015/05/the-plante1.jpg,Anémie ,https://upload.wikimedia.org/wikipedia/commons/a/a5/Camellia_sinensis_Bois_Cheri.jpg
Cassis,"Plante médicinale utilisée en feuille séchée lors de troubles rhumatismaux et en baies lors de maux de gorge, se présente souvent sous forme de capsule ou en bonbons.",https://creapharma.ch/wp-content/uploads/2015/04/cassis-plante_crope.jpg,"Angine (pharyngite) , Diarrhée , Enrouement , Gorge (mal de) , Goutte , Jambes lourdes (douloureuses) , Laryngite , Mal de gorge , Pharyngite (angine) ",https://upload.wikimedia.org/wikipedia/commons/0/08/Blackcurrant_carissa_spinarum.jpg
Guimauve,"Plante médicinale béchique utilisée contre la toux et comme hochet de dentition pour les enfants, se présente souvent sous forme de tisane (infusion) ou en racine séchée.",https://creapharma.ch/wp-content/uploads/2015/05/guimauve-plante-pm.jpg,"Angine (pharyngite) , Bronchite , Gorge (mal de) , Laryngite , Mal de gorge , Pharyngite (angine) , Toux ",https://upload.wikimedia.org/wikipedia/commons/1/17/Althaea_officinalis.jpeg
Mauve,"Plante médicinale désinfectante et émolliente utilisée lors de maux de gorge ou de toux sèche, se présente souvent sous forme de tisane, bonbon ou gélule.",https://creapharma.ch/wp-content/uploads/2015/05/mauve.gif,"Angine (pharyngite) , Aphtes , Bronchite , Enrouement , Gorge (mal de) , Laryngite , Mal de gorge , Maux de dents , Panaris , Pharyngite (angine) , Toux ",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Wilde_Malve_am_Donaudamm.jpg/1200px-Wilde_Malve_am_Donaudamm.jpg
Mousse d’islande,"Plante médicinale utilisée pour soigner la toux et les maux de gorge, se présente souvent sous forme de tisanes (infusion) ou en bonbons.",https://creapharma.ch/wp-content/uploads/2015/05/mousse-islande-thalle.jpg,"Angine (pharyngite) , Enrouement , Gorge (mal de) , Laryngite , Mal de gorge , Pharyngite (angine) , Toux ",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Cetraria_islandica.jpg/1200px-Cetraria_islandica.jpg
Sauge,Plante médicinale et aromatique utilisée en usage interne surtout comme antidiaphorétique (antitranspirant) et en usage externe comme désinfectant et cicatrisant contre les affections buccales comme les maux de gorge ou les aphtes.,https://creapharma.ch/wp-content/uploads/2015/05/sauge-plante-medicinale.jpg,"Angine (pharyngite) , Aphtes , Gingivite , Gorge (mal de) , Laryngite , Mal de gorge , Ménopause , Pharyngite (angine) , Sécheresse vaginale , Transpiration excessive (hyperhidrose) ",https://upload.wikimedia.org/wikipedia/commons/2/2e/Sauge_officinale01.jpg
Thym,"Plante médicinale avec un fort effet désinfectant, utilisée lors de toux, de bronchite ou de maux de gorge, se présente souvent sous forme de tisane (infusion), teinture, gélule ou sirop.",,"Angine (pharyngite) , Bronchite , Gorge (mal de) , Insectes (piqûres d’) , Laryngite , Mal de gorge , Pharyngite (angine) , Piqûre d’insectes (insectes) , Pneumonie , Refroidissement , Rhume , Sinusite , Toux ",https://upload.wikimedia.org/wikipedia/commons/9/98/Fleurs_de_thym.JPG
Camomille allemande,Plante médicinale utilisée en usage interne contre les spasmes et les problèmes digestifs surtout sous forme de tisane et en usage externe comme désinfectant et cicatrisant.,https://creapharma.ch/wp-content/uploads/2015/04/camomille-vraie-163x200.jpg,Anxiété ,https://upload.wikimedia.org/wikipedia/commons/9/9d/Camomille.jpg
Cataire,"Plante médicinale avec un effet digestif, utilisée en cas de coliques et troubles digestifs, se présente souvent sous forme de tisane.",,Anxiété ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Nepeta-catarica1.jpg/1200px-Nepeta-catarica1.jpg
Houblon,"Plante médicinale avec un effet somnifère, calmant et légèrement antidépresseur, se présente souvent sous forme de tisane (infusion), comprimé ou en gélule.",,"Anxiété , Arrêter de fumer & tabagisme , Insomnie (troubles du sommeil) , Nervosité (stress) , Sommeil (troubles du sommeil, insomnie) , Stress ",https://upload.wikimedia.org/wikipedia/commons/3/39/Humulus_lupulus_008.JPG
Kawa,"Plante médicinale anxiolytique et calmante utilisée lors d’anxiété ou de stress, se présente souvent sous forme de médicament prêt à l’emploi (comprimés, gélules).",https://creapharma.ch/wp-content/uploads/2015/05/kava-feuille-Picture-Partners-133x200.jpg,Anxiété ,
Passiflore,"Plante médicinale utilisée pour son effet calmant et sédatif contre la nervosité et les troubles du sommeil, se présente souvent sous forme de gélule, comprimé à mâcher ou en tisane.",https://creapharma.ch/wp-content/uploads/2015/05/passiflore-fleurs-134x200.jpg,"Anxiété , Arrêter de fumer & tabagisme , Insomnie (troubles du sommeil) , Nervosité (stress) , Sommeil (troubles du sommeil, insomnie) , Stress ",
Valériane,"Plante médicinale à l’effet somnifère et calmante, se présente souvent sous forme de tisanes ou sous forme de comprimés.",,"Anxiété , Arrêter de fumer & tabagisme , Insomnie (troubles du sommeil) , Nervosité (stress) , Sommeil (troubles du sommeil, insomnie) , Stress , Syndrome du côlon irritable ",
Aloe vera,"Plante médicinale anti-inflammatoire et désinfectante utilisée lors de plaies ou de brûlures, se présente souvent sous forme de gel ou de pommade.",https://creapharma.ch/wp-content/uploads/2015/04/aloe-plante-medicinale2-161x200.jpg,"Aphtes , Blessures (plaies) , Constipation , Coup de soleil , Plaies (voir aussi sous blessures) , Syndrome du côlon irritable ",
Hamamélis,"Plante médicinale utilisée en usage interne ou externe pour soigner des troubles veineux comme les hémorroïdes, se présente souvent sous forme de comprimé, gélule ou en pommade.",https://creapharma.ch/wp-content/uploads/2015/05/hamamelis-jardin-botanique-pm.jpg,"Aphtes , Démangeaisons anales , Eczéma , Hémorroïdes , Jambes lourdes (douloureuses) , Saignement de nez (épistaxis) , Thrombose ",
Myrrhe,"Plante médicinale avec une action astringente, efficace lors de différents problèmes de bouche (ex. aphtes), se présente souvent sous forme de teinture ou d’huile essentielle.",https://creapharma.ch/wp-content/uploads/2015/05/myrrhe-pm.jpg,"Aphtes , Gingivite , Moustiques (piqûres de) , Pellicules , Piqûres de moustiques ",
Rhubarbe,"Plante médicinale utilisée principalement en usage interne lors de constipation ou en usage externe lors d’aphtes, se présente en général sous forme de tisane ou de liquide pour application.",https://creapharma.ch/wp-content/uploads/2015/05/rhubarbe.gif,"Aphtes , Constipation ",
Rose,"Plante (médicinale) avec un effet principalement tonique sur la peau, très utilisée en cosmétique et en parfumerie, se présente souvent sous forme de tisane ou en eau de rose.",https://creapharma.ch/wp-content/uploads/2015/05/rose-provins.jpg,Aphtes ,
Thé noir,"Plante médicinale et boisson utilisée principalement comme stimulant lors de fatigue, se présente souvent sous forme de thé (infusion).",https://creapharma.ch/wp-content/uploads/2015/05/the-plante1.jpg,"Aphtes , Diarrhée , Fatigue , Gastro-entérite , Hypertension , Nervosité (stress) , Stress ",
Tea tree,"Plante médicinale utilisée principalement sous forme d’huile essentielle, indiquée surtout lors de mycoses des pieds grâce à un fort effet antifongique. On l’utilise souvent sous forme d’huile essentielle.",https://creapharma.ch/wp-content/uploads/2015/04/arbre-a-the-134x200.jpg,"Aphtes , Mycoses des ongles (onychomycose) , Mycoses des pieds (pieds d’athlète) , Mycoses vaginales , Onychomycose (mycose des ongles) , Pellicules , Pied d’athlète (mycose des pieds) ",
Arnica,"Plante médicinale avec un effet anti-inflammatoire utilisée en usage externe lors de contusion ou d’hématome, se présente souvent sous forme de pommade ou de gel.",https://creapharma.ch/wp-content/uploads/2015/04/arnica-fleurs-237x200.jpg,"Arthrite , Arthrose , Contusions , Coup de soleil , Entorse , Hématomes , Mal de dos , Polyarthrite rhumatoïde (pr) , Syndrome du canal carpien , Tendinite ",
Frêne,"Plante médicinale avec une action anti-inflammatoire utilisée lors de rhumatisme (goutte, arthrose), se présente en général sous forme de gélules.",https://creapharma.ch/wp-content/uploads/2015/05/frene_pm.jpg,"Arthrite , Arthrose , Goutte , Polyarthrite rhumatoïde (pr) , Surpoids & obésité ",
Grenade,"Plante avec un important effet antioxydant qui peut prévenir des maladies cardiovasculaires et certains cancers, à utiliser sous forme de jus (plus efficace) ou de fruit.",https://creapharma.ch/wp-content/uploads/2015/05/grenade-pm.jpg,Arthrite ,
Harpagophytum,"Plante médicinale anti-inflammatoire utilisée lors de rhumatismes comme l’arthrose, se présente en général sous forme de gélules ou en comprimés.",https://creapharma.ch/wp-content/uploads/2015/05/harpagophytum2.jpg,"Arthrite , Mal de dos , Polyarthrite rhumatoïde (pr) , Tendinite ",
Griffe du diable,"Plante médicinale anti-inflammatoire utilisée lors de rhumatismes comme l’arthrose, se présente en général sous forme de gélules ou en comprimés.",https://creapharma.ch/wp-content/uploads/2015/05/harpagophytum2.jpg,"Arthrite , Polyarthrite rhumatoïde (pr) , Sciatique , Tendinite ",
Poivre de cayenne,"Plante médicinale hyperémiante utilisée en usage externe lors d’affections rhumatismales, se présente souvent sous forme de pommade, emplâtre ou en compresse.",https://creapharma.ch/wp-content/uploads/2015/05/piment-plante.jpg,"Arthrite , Arthrose , Bouton de fièvre, zona ou herpès zoster , Crampes musculaires , Herpès zoster (zona) , Mal de dos , Polyarthrite rhumatoïde (pr) , Surpoids & obésité , Tendinite , Zona ",
Saule,"Plante médicinale indiquée en cas de refroidissement ou lors de douleurs rhumatismales à cause de son effet antidouleur et anti-inflammatoire, se présente souvent sous forme de comprimé ou en gélule.",https://creapharma.ch/wp-content/uploads/2015/05/saule-pm.jpg,"Arthrite , Arthrose , Mal de dos , Polyarthrite rhumatoïde (pr) , Poux de tête , Sciatique ",
Consoude,"Plante médicinale utilisée pour son effet anti-inflammatoire lors de coups et de contusions, se présente souvent sous forme de gel.
Attention, ne pas utiliser cette plante en usage interne (à avaler) à cause du risque d’intoxication.",,"Arthrose , Contusions , Entorse ",
Curcuma,"Plante médicinale avec un fort effet antioxydant ayant une action préventive contre le cancer, se présente principalement sous forme de poudre ou de gélule.",https://creapharma.ch/wp-content/uploads/2015/04/curcuma_202_177.jpg,"Arthrose , Brûlures (brûlures de la peau) , Crohn (maladie de) , Inflammations , Maladie de crohn , Psoriasis ",
